#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000
 160.0000000   -2.9422455250e-06    7.6956958315e-22   -3.4134339333e-06    6.5022793872e-21
 161.0000000   -1.1350583938e-05   -3.5140958867e-22    4.5885933289e-06   -2.6640127109e-21
 162.0000000   -1.0780787047e-05   -1.9027868275e-21    1.2204992403e-05   -1.1004991815e-20
 163.0000000   -2.3949087999e-06   -2.7964391571e-21    1.3285688325e-05   -1.0106466875e-20
 164.0000000    7.8824447855e-06   -2.1773009310e-21    6.3264003734e-06   -1.0561545459e-21
 165.0000000    1.3491115668e-05    1.9113688264e-22   -4.4383008967e-06    9.8402698139e-21
 166.0000000    1.1434283437e-05    3.3133688788e-21   -1.2418118432e-05    1.5080782112e-20
 167.0000000    3.7542927640e-06    4.6529717250e-21   -1.3440408350e-05    1.0133763835e-20
 168.0000000   -4.2286264563e-06    3.0810563347e-21   -8.1718761441e-06   -2.8042456741e-21
 169.0000000   -7.4716711064e-06   -9.3346039657e-22   -8.1691808797e-07   -1.5372712245e-20
 170.0000000   -4.3509727121e-06   -4.4862528263e-21    4.2742743948e-06   -1.8598328893e-20
 171.0000000    2.6159193398e-06   -5.3076932577e-21    5.2939252908e-06   -9.2951190161e-21
 172.0000000    8.8035633528e-06   -2.9026607800e-21    3.3494125712e-06    6.1795044649e-21
 173.0000000    1.0528860082e-05    1.3378741679e-21    9.3416742479e-07    1.8379500847e-20
 174.0000000    7.0665182226e-06    4.7163092030e-21    1.0663131687e-08    1.9368795934e-20
 175.0000000    7.6419113007e-07    5.2401229415e-21    9.2776124586e-07    7.2765527523e-21
 176.0000000   -4.5315619621e-06    3.1720631657e-21    2.5006356621e-06   -7.8521024375e-21
 177.0000000   -5.8011324465e-06   -8.9930042221e-22    2.9505640049e-06   -1.6951929281e-20
 178.0000000   -2.5791996456e-06   -4.1363554272e-21    1.1692441823e-06   -1.5128797361e-20
 179.0000000    2.9198813699e-06   -4.9814270516e-21   -2.3506663967e-06   -3.8202302615e-21
 180.0000000    7.3038711758e-06   -3.2971160722e-21   -5.5737304167e-06    8.0086075944e-21
 181.0000000    8.1400970034e-06    4.2361987120e-22   -6.1569571246e-06    1.3622372219e-20
 182.0000000    5.3293628939e-06    3.9046866945e-21   -3.1622125452e-06    1.0017674206e-20
 183.0000000    9.1654281929e-07    4.8469181136e-21    2.0346184117e-06   -2.7145741259e-22
 184.0000000   -2.3779726761e-06    2.8236585691e-21    6.4722540658e-06   -8.8663551155e-21
 185.0000000   -2.8926828113e-06   -7.7720080898e-22    7.5418572281e-06   -1.0493716648e-20
 186.0000000   -9.0221157980e-07   -3.7164578687e-21    4.7133993032e-06   -5.1903515486e-21
 187.0000000    1.9041424444e-06   -4.0466451048e-21   -1.9284918724e-07    2.9064800280e-21
 188.0000000    3.8051134587e-06   -1.5841348836e-21   -4.2845902076e-06    8.8594678675e-21
 189.0000000    4.1206391243e-06    1.4347447725e-21   -5.4330268887e-06    8.9231591591e-21
 190.0000000    3.2809657298e-06    3.5240091293e-21   -3.4568320830e-06    3.9724831930e-21
 191.0000000    2.1396281084e-06    3.0121830474e-21   -4.2631395737e-08   -3.8509134923e-21
 192.0000000    1.2439847950e-06    9.6078320618e-22    2.4095793697e-06   -9.1989592699e-21
 193.0000000    6.2682010354e-07   -1.6365122185e-21    2.3050087440e-06   -9.9727285718e-21
 194.0000000    1.7220472497e-07   -3.4675669772e-21   -1.1147328445e-07   -4.0494368394e-21
 195.0000000    4.5230305016e-08   -2.8536398274e-21   -2.8369513846e-06    5.2323051153e-21
 196.0000000    5.9709924415e-07   -6.7538004545e-22   -3.3771730892e-06    1.2607486231e-20
 197.0000000    1.7991169322e-06    1.8574340655e-21   -5.1108848282e-07    1.2440369898e-20
 198.0000000    2.9265885480e-06    3.4039386935e-21    4.6205898185e-06    4.5144674400e-21
 199.0000000    3.0287826606e-06    3.0307833020e-21    8.9915934501e-06   -7.3891527131e-21
 200.0000000    1.8373171937e-06    1.0962534185e-21    9.5757491887e-06   -1.6087241197e-20
 201.0000000    1.8661985485e-07   -9.5726768857e-22    5.4036652908e-06   -1.5672574910e-20
 202.0000000   -5.9437378458e-07   -2.1844030520e-21   -1.6719634622e-06   -4.5471410742e-21
 203.0000000    1.5554265113e-07   -2.2586166626e-21   -8.0703678327e-06    1.0228269220e-20
 204.0000000    1.8179724180e-06   -1.7980224642e-21   -1.0662797539e-05    1.9432928281e-20
 205.0000000    3.0535599819e-06   -9.2947958987e-22   -8.5306266036e-06    1.7541321317e-20
 206.0000000    2.9891300219e-06    5.9220961980e-22   -3.2040556302e-06    4.2868376752e-21
 207.0000000    1.8882943493e-06    1.3618107069e-21    2.5598717316e-06   -1.1453478804e-20
 208.0000000    7.4574664225e-07    2.1148475830e-21    6.4404893879e-06   -2.0705855846e-20
 209.0000000    3.1999048601e-07    2.1310240531e-21    7.5464257699e-06   -1.7189549837e-20
 210.0000000    5.5925370072e-07    7.1360483704e-22    6.3212807515e-06   -3.5180637687e-21
 211.0000000    8.7060392993e-07   -1.0324861944e-21    3.7745463512e-06    1.1141153499e-20
 212.0000000    8.3494117655e-07   -2.3216568725e-21    7.8675021038e-07    1.8290540157e-20
